Merkki,Vuosi,Ajettu,Hinta,Date
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business|2019|60 000|24 890 €|09-2021",2019,60 000,24 890 €,09-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active|2019|46 000|21 990 €|09-2021",2019,46 000,21 990 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active / PLUS-PAKETTI / SUOMIAUTO / LOHKOLÄM. / TÄYDEL. HUOLTOKIRJA|2019|29 000|26 490 €|09-2021",2019,29 000,26 490 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style - 1om,webasto|2019|55 000|26 990 €|09-2021",2019,55 000,26 990 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style // Plus-paketti, Tehdastakuu, Kattavat varusteet // **** LänsiAuto Safe -sopimus hintaan|2019|33 000|29 950 €|10-2021",2019,33 000,29 950 €,10-2021
Toyota Corolla (1.8)|2019|46 542|24 890 €|09-2021,2019,46 542,24 890 €,09-2021
"Toyota Corolla (1.2) Touring Sports 1,2 T Active - Suosittu Corolla, manuaalina!|2019|43 000|22 900 €|09-2021",2019,43 000,22 900 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style / LOHKO + SISÄ.P / PLUS-PAKETTI /|2019|32 000|29 680 €|10-2021",2019,32 000,29 680 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active|2019|22 000|29 900 €|10-2021",2019,22 000,29 900 €,10-2021
"Toyota Corolla (1.2) Hatchback 1,2 T Active Multidrive S **1-Omisteinen / Suomi-auto / Navi,Kamera ym. / Tehdastakuu **|2019|37 000|22 790 €|09-2021",2019,37 000,22 790 €,09-2021
"Toyota Corolla (1.2) Touring Sports 1,2 T Turbo Edition Multidrive S - 1-Omistaja|2019|47 000|22 980 €|10-2021",2019,47 000,22 980 €,10-2021
Toyota Corolla (2)|2019|16 000|30 900 €(incl. VAT)|09-2021,2019,16 000,30 900 €(incl. VAT),09-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Active / 1-Omistaja / Suomiauto|2019|45 320|25 500 €|09-2021",2019,45 320,25 500 €,09-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active / PLUS-PAKETTI / 1-OMISTAJA / LOHKOLÄM. / SUOMIAUTO / JUURI HUOLLETTU|2019|44 000|24 990 €|11-2021",2019,44 000,24 990 €,11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 HYBRID* Bi-LED,  KAMERA, YMS... *|2019|22 000|27 400 €|10-2021",2019,22 000,27 400 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style|2019|40 000|31 900 €|10-2021",2019,40 000,31 900 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active Edition **MERKKIHUOLLETTU // 1-OMISTAJALTA**|2019|34 000|25 990 €|09-2021",2019,34 000,25 990 €,09-2021
Toyota Corolla (1.8)|2019|46 000|24 900 €|10-2021,2019,46 000,24 900 €,10-2021
Toyota Corolla (1.2)|2019|28 563|23 890 €|11-2021,2019,28 563,23 890 €,11-2021
"Toyota Corolla (1.2) Hatchback 1,2 T Active|2019|36 000|21 790 €(incl. VAT)|09-2021",2019,36 000,21 790 €(incl. VAT),09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active|2019|37 000|29 850 €|10-2021",2019,37 000,29 850 €,10-2021
"Toyota Corolla (1.2) Touring Sports 1,2 T Active|2019|18 000|24 950 €(incl. VAT)|10-2021",2019,18 000,24 950 €(incl. VAT),10-2021
Toyota Corolla (1.8)|2019|23 000|24 900 €|09-2021,2019,23 000,24 900 €,09-2021
"Toyota Corolla (1.2) TS 1,2T Turbo Edition  / HUIPPUTARJOUS NOPEIMMALLE!!! / Navi / Bi-Led ajovalot|2019|4 000|22 999 €(incl. VAT)|09-2021",2019,4 000,22 999 €(incl. VAT),09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Premium|2019|43 000|31 990 €|09-2021",2019,43 000,31 990 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active Business|2019|43 000|26 480 €|09-2021",2019,43 000,26 480 €,09-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active|2019|65 000|24 900 €|09-2021",2019,65 000,24 900 €,09-2021
Toyota Corolla (1.8)|2019|148 000|22 800 €(incl. VAT)|09-2021,2019,148 000,22 800 €(incl. VAT),09-2021
"Toyota Corolla (2) Hatchback 2,0 Hybrid Club - Adapt.cruise / Aktiivinen kaistavahti / Apple carplay / LED-ajovalot / Tehdastakuu|2019|15 300|26 900 €(incl. VAT)|10-2021",2019,15 300,26 900 €(incl. VAT),10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** -|2019|47 333|25 390 €|09-2021",2019,47 333,25 390 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active / 18"" ALUT / 1-OMISTAJA / KOUKKU / NAVI|2019|25 000|29 990 €|10-2021",2019,25 000,29 990 €,10-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** - **va|2019|44 903|24 790 €|09-2021",2019,44 903,24 790 €,09-2021
"Toyota Corolla (2) Hatchback 2,0 Hybrid Active - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** - Plus Paketti, Vähän ajet|2019|11 000|27 990 €|10-2021",2019,11 000,27 990 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|30 000|28 480 €|09-2021",2019,30 000,28 480 €,09-2021
"Toyota Corolla (1.8) Toyota COROLLA Touring Sports 1,8 Hybrid Active + Plus -paketti|2019|45 000|26 490 €|09-2021",2019,45 000,26 490 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Club /Style Ulkonäkö /LedAjovalot /Adapt.Vakkari /Carplay ja Android Auto|2019|52 000|25 990 €(incl. VAT)|09-2021",2019,52 000,25 990 €(incl. VAT),09-2021
"Toyota Corolla (2) Hatchback 2,0 Hybrid Premium / Törkeät varusteet / Upea / Lohkolämmitin ja sisäpistoke / 2x renkaat|2019|30 000|27 880 €|10-2021",2019,30 000,27 880 €,10-2021
Toyota Corolla (2)|2019|46 000|26 990 €|09-2021,2019,46 000,26 990 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active/ 1-om/ Tehdastakuu/|2019|20 000|29 700 €|09-2021",2019,20 000,29 700 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Club /Style Ulkonäkö /LedAjovalot /Adapt.Vakkari /Carplay ja Android Auto|2019|49 010|25 990 €(incl. VAT)|11-2021",2019,49 010,25 990 €(incl. VAT),11-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active|2019|66 000|20 900 €|09-2021",2019,66 000,20 900 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active|2019|51 000|26 450 €|10-2021",2019,51 000,26 450 €,10-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Active|2019|61 000|23 890 €|11-2021",2019,61 000,23 890 €,11-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Style - Katso Automessutarjoukset rinta-jouppi.com|2019|25 000|24 800 €|10-2021",2019,25 000,24 800 €,10-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Active. Adapt.cruise, Kaista-avustin, Avaimeton käynnistys, P-kamera|2019|55 000|23 880 €|09-2021",2019,55 000,23 880 €,09-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Active. Adapt.cruise, Kaista-avustin, Avaimeton käynnistys, P-kamera|2019|56 000|23 880 €|10-2021",2019,56 000,23 880 €,10-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen** -|2019|34 000|24 490 €|09-2021",2019,34 000,24 490 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active / ALV. VÄH. KELP / ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|39 000|25 960 €(incl. VAT)|10-2021",2019,39 000,25 960 €(incl. VAT),10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active|2019|27 000|28 790 €(incl. VAT)|11-2021",2019,27 000,28 790 €(incl. VAT),11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active|2019|56 000|25 900 €|09-2021",2019,56 000,25 900 €,09-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active** Suomi-auto / rek.4.12.2019 **|2019|17 000|24 980 €|09-2021",2019,17 000,24 980 €,09-2021
Toyota Corolla (1.8) 1.8 Hybrid Active Business|2019|65 000|23 800 €|11-2021,2019,65 000,23 800 €,11-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active / SÄHKÖLUUKKU / MUKAUTUVA CRUISE / 1.OM.|2019|46 000|26 990 €|09-2021",2019,46 000,26 990 €,09-2021
Toyota Corolla (1.6)|2019|66 000|20 900 €|10-2021,2019,66 000,20 900 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Comfort - **Korkotarjous 1,59%+kulut**Toimitusmahdollisuus koko Suomeen**|2019|51 151|24 900 €|09-2021",2019,51 151,24 900 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active * LEDIT * NAVI * Adapt* vakkari * *** 6kk korotonta!, J. kotiintoim|2019|33 000|26 480 €|09-2021",2019,33 000,26 480 €,09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active / Plus-paketti ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|12 000|26 990 €|09-2021",2019,12 000,26 990 €,09-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Style - Katso Automessutarjoukset rinta-jouppi.com|2019|35 000|26 480 €|10-2021",2019,35 000,26 480 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style / Plus-paketti ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|26 000|28 980 €|10-2021",2019,26 000,28 980 €,10-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Style|2019|20 000|26 690 €|10-2021",2019,20 000,26 690 €,10-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Active ** 1-Omist. / Suomi-auto **|2019|8 000|25 980 €|10-2021",2019,8 000,25 980 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style - *Korko 0,99%+kulut*Vain kauppaviikon ajan* -|2019|51 861|28 990 €|11-2021",2019,51 861,28 990 €,11-2021
"Toyota Corolla (1.2) Touring Sports 1,2 T Active|2019|28 000|23 790 €|11-2021",2019,28 000,23 790 €,11-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|44 000|27 890 €|11-2021",2019,44 000,27 890 €,11-2021
"Toyota Corolla (1.2) Touring Sports 1,2 T Comfort **Huippuvarusteet** / Led-Valot / Adapt.Vakkari / Kaistavahti / Peruutuskamera / Ratin  /|2019|27 000|22 390 €|11-2021",2019,27 000,22 390 €,11-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active / Takuu voimassa /Adapt. Cruise / Mirror Link / Kamera /|2019|56 000|24 890 €|11-2021",2019,56 000,24 890 €,11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style // Huippu varusteet! / Adapt. vakkari / Navi / Mirror Link / Park Assist //|2019|73 000|24 700 €(incl. VAT)|09-2021",2019,73 000,24 700 €(incl. VAT),09-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active * 1 omisteinen * Suomiauto * Navi * *** Tehdastakuu, J. kotiintoimi|2019|33 000|25 900 €|10-2021",2019,33 000,25 900 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|30 000|27 960 €|10-2021",2019,30 000,27 960 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style|2019|20 500|27 900 €|09-2021",2019,20 500,27 900 €,09-2021
Toyota Corolla (1.8)|2019|23 000|24 900 €|09-2021,2019,23 000,24 900 €,09-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business / NAVI / ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|32 000|27 890 €|11-2021",2019,32 000,27 890 €,11-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active - **Korkotarjous alk. 1,99%+kulut/max48kk**Toimitusmahdollisuus kok|2019|22 379|28 990 €|10-2021",2019,22 379,28 990 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active - *Toyota Approved - 12 kk maksuton vaihtoautoturva ilman kilometrirajoitusta*|2019|50 600|26 900 €|11-2021",2019,50 600,26 900 €,11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style / TUTKAT / SÄHKÖLUUKKU / PUOLINAHAT|2019|64 000|26 990 €|10-2021",2019,64 000,26 990 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active - Katso Automessutarjoukset rinta-jouppi.com|2019|64 000|25 790 €|10-2021",2019,64 000,25 790 €,10-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active / Huikeat varusteet! / Adaptiivinen vakkari / Navi / Automaattiset kaukovalot /|2019|23 000|24 780 €|10-2021",2019,23 000,24 780 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Premium** Huippuvarusteltu Suomi-auto / Lasikatto ym. / Turva 12kk **|2019|30 000|33 490 €|09-2021",2019,30 000,33 490 €,09-2021
Toyota Corolla (1.8)|2019|38 173|23 900 €|10-2021,2019,38 173,23 900 €,10-2021
Toyota Corolla (1.2)|2019|23 000|22 850 €|10-2021,2019,23 000,22 850 €,10-2021
Toyota Corolla (1.8)|2019|45 000|24 000 €|10-2021,2019,45 000,24 000 €,10-2021
Toyota Corolla (2)|2019|45 126|28 390 €|11-2021,2019,45 126,28 390 €,11-2021
Toyota Corolla (1.8) / Takuu voimassa /Adapt. Cruise / Mirror Link / Kamera /|2019|55 000|24 890 €|11-2021,2019,55 000,24 890 €,11-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Club Aut // Digimittaristo / Pysäköintiavustin / Adapt.vakkari //|2019|34 000|25 890 €|10-2021",2019,34 000,25 890 €,10-2021
Toyota Corolla (1.8) Touring Sports 18 Hybrid Active Edition - Rahoitus alkaen 1.89%|2019|45 000|24 000 €|11-2021,2019,45 000,24 000 €,11-2021
Toyota Corolla (2)|2019|50 000|26 900 €|11-2021,2019,50 000,26 900 €,11-2021
Toyota Corolla (1.8)|2019|39 800|23 400 €|10-2021,2019,39 800,23 400 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business|2019|47 000|27 480 €|11-2021",2019,47 000,27 480 €,11-2021
"Toyota Corolla (1.2) Hatchback 1,2 T Active|2019|36 000|21 790 €(incl. VAT)|10-2021",2019,36 000,21 790 €(incl. VAT),10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active // P.kamera / Ratinlämmitys / Lohko + sisälämppäri //|2019|37 000|26 890 €|10-2021",2019,37 000,26 890 €,10-2021
"Toyota Corolla (1.2) Hatchback 1,2 T Active Multidrive S *Per.kamera/ Mukautuva vakkari / Lämmitettävä ratti*|2019|31 000|22 990 €|10-2021",2019,31 000,22 990 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active|2019|48 000|25 950 €|10-2021",2019,48 000,25 950 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active**NAVI / ADATIV.VAKKARI / LÄMMITIN**|2019|31 000|26 990 €|10-2021",2019,31 000,26 990 €,10-2021
"Toyota Corolla (1.8) Touring 1,8 Hybrid Style - Katso Automessutarjoukset rinta-jouppi.com|2019|29 000|28 980 €|10-2021",2019,29 000,28 980 €,10-2021
"Toyota Corolla (1.8) Touring 1,8 Hybrid Style - Led-ajovalot, Kamera, Adaptiivinen vakionopeudensäädin, Vetokoukku, Bluetooth, Kaukovalo auto|2019|29 000|28 980 €|11-2021",2019,29 000,28 980 €,11-2021
"Toyota Corolla (1.2) Touring Sports 1,2 T Active ** Suomi-Auto / Digimittaristo / Adapt.Vakkari / Navi / Vetokoukku **|2019|58 000|19 900 €|10-2021",2019,58 000,19 900 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active|2019|52 000|26 900 €(incl. VAT)|11-2021",2019,52 000,26 900 €(incl. VAT),11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active ** Suomi-auto / Plus-paketti / Tehdastakuu **|2019|38 000|25 490 €|10-2021",2019,38 000,25 490 €,10-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active|2019|30 000|23 790 €(incl. VAT)|10-2021",2019,30 000,23 790 €(incl. VAT),10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style ** 1 omistaja- Webasto - Navigaattori - BI-Led ajovalot ** **** Tähän autoon 12kk maksut|2019|33 000|28 250 €|10-2021",2019,33 000,28 250 €,10-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active - Adaptiivinen vakkari / LED-valot / Navigointi / Mirror Link / Lämpöratti, yms!|2019|29 000|24 900 €|10-2021",2019,29 000,24 900 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Lounge // Tulossa myyntiin! / Hyvät varusteet! / JBL / Panoraama / Vetokoukku //|2019|24 600|28 770 €|10-2021",2019,24 600,28 770 €,10-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Style // Navigointi / Led-ajovalot / Adapt.vakkari //|2019|14 000|25 200 €|11-2021",2019,14 000,25 200 €,11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style / Vakkari / Peruutuskamera / Kaistavahti /|2019|81 500|24 780 €(incl. VAT)|10-2021",2019,81 500,24 780 €(incl. VAT),10-2021
"Toyota Corolla (2) Hatchback 2,0 Hybrid Style|2019|16 000|26 900 €|10-2021",2019,16 000,26 900 €,10-2021
Toyota Corolla (1.2)|2019|59 000|19 950 €(incl. VAT)|10-2021,2019,59 000,19 950 €(incl. VAT),10-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Active|2019|30 000|24 900 €|10-2021",2019,30 000,24 900 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active|2019|52 000|29 480 €|11-2021",2019,52 000,29 480 €,11-2021
Toyota Corolla (1.8)|2019|38 000|27 900 €|11-2021,2019,38 000,27 900 €,11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style|2019|55 000|26 690 €|10-2021",2019,55 000,26 690 €,10-2021
"Toyota Corolla (1.2) Touring Sports 1,2 T Turbo Edition / Navi / Alv väh.kelp. ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|39 000|21 880 €(incl. VAT)|11-2021",2019,39 000,21 880 €(incl. VAT),11-2021
"Toyota Corolla (1.8) Sedan 1,8 Hybrid Active - **Korkotarjous alk. 1,99%+kulut/max48kk**Toimitusmahdollisuus koko Suomeen|2019|40 572|25 390 €|10-2021",2019,40 572,25 390 €,10-2021
Toyota Corolla (1.8)|2019|27 000|25 990 €|11-2021,2019,27 000,25 990 €,11-2021
Toyota Corolla (1.8)|2019|72 433|23 890 €|10-2021,2019,72 433,23 890 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active ** ACC / P-Kamera / AppConnect / LED-Ajovalot **|2019|40 000|25 490 €|10-2021",2019,40 000,25 490 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|18 000|30 990 €|10-2021",2019,18 000,30 990 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business / NAVI / ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|26 000|28 980 €|10-2021",2019,26 000,28 980 €,10-2021
"Toyota Corolla (1.8) Hatchback 1,8 Hybrid Active / Navi / Adapt.vakkari / Liikennemerkkitunnistin /|2019|16 000|25 290 €|11-2021",2019,16 000,25 290 €,11-2021
Toyota Corolla (2)|2019|20 000|27 900 €|10-2021,2019,20 000,27 900 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Active Business / Navi ***  Kotiinkuljetus mahdollisuus, kysy lisää myyjältä.|2019|20 000|28 860 €|11-2021",2019,20 000,28 860 €,11-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Style - Sport Comfort -etuistuimet, adaptiivinen vakionopeudensäädin, PLUS-paketti, Bi-LED-ajo|2019|35 000|29 380 €|11-2021",2019,35 000,29 380 €,11-2021
"Toyota Corolla (1.2) Hatchback 1,2 T Turbo Edition Multidrive S|2019|30 000|22 900 €|10-2021",2019,30 000,22 900 €,10-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Active / Adap. vak. / Kaistavahti / Kotiintoimitus|2019|127 000|21 390 €|11-2021",2019,127 000,21 390 €,11-2021
"Toyota Corolla (1.6) 1,6 Valvematic Premium 4ov**TUTKAT / KAMERA / NAVI**|2019|41 000|21 990 €|11-2021",2019,41 000,21 990 €,11-2021
"Toyota Corolla (1.8) Touring Sports 1,8 Hybrid Style *Rahoituskorko nyt 2,49% + kulut Huoltorahalla. Pyydä tarjous meiltä!*|2019|40 000|25 900 €|10-2021",2019,40 000,25 900 €,10-2021
"Toyota Corolla (2) Touring Sports 2,0 Hybrid Premium|2019|52 000|31 880 €|11-2021",2019,52 000,31 880 €,11-2021
Make & model|Year|Mileage|Price|Sold date,Year,Mileage,Price,Sold date
